Fall,Major,Total,Male,Female
1981,German,22,11,11
1981,HR&FS,49,1,48
1981,History,84,60,24
1981,Italian,5,2,3
1981,LAS TCH MATH,1,0,1
1981,Linguistics,73,41,32
1981,Mathematics,151,123,28
1981,Microbiology,61,33,28
1981,Molecular & Integrative Physi,60,41,19
1981,PRE-JOURN,82,27,55
1981,PRE-MED,22,13,9
1981,PUB ADMIN,12,8,4
1981,Philosophy,29,24,5
1981,Plant Biology,26,15,11
1981,Political Science,42,28,14
1981,Psychology,161,83,78
1981,SOCIAL SCI,2,1,1
1981,Slavic Languages & Literature,14,4,10
1981,Sociology,41,23,18
1981,Speech Communication,60,31,29
1981,TCH BIOL,17,8,9
1981,TCH ENGL,45,8,37
1981,TCH SOC ST,13,8,5
1981,TCH SPEECH,10,3,7
1981,UNCLASS,0,0,0
1982,Anthropology,70,34,36
1982,Asian Studies,27,8,19
1982,Astronomy,15,14,1
1982,Atmospheric Sciences,23,17,6
1982,Biochemistry,82,54,28
1982,Biology,175,92,83
1982,Biophysics & Computnl Biology,26,20,6
1982,Chemical Engineering,551,419,132
1982,Chemical Physics,6,4,2
1982,Chemistry,550,415,135
1982,Classical Philology,11,9,2
1982,Classics,6,4,2
1982,Comparative Literature,43,19,24
1982,English,110,50,60
1982,Entomology,33,26,7
1982,French,33,10,23
1982,GEN CURR,2182,960,1222
1982,Genetics,5,2,3
1982,Geography,36,28,8
1982,Geology,114,80,34
1982,German,20,12,8
1982,HR&FS,47,0,47
1982,History,71,47,24
1982,Italian,5,2,3
1982,Linguistics,74,33,41
1982,Mathematics,159,124,35
1982,Microbiology,73,40,33
1982,Molecular & Integrative Physi,56,40,16
1982,PRE-JOURN,150,47,103
1982,PRE-MED,69,31,38
1982,PUB ADMIN,13,9,4
1982,Philosophy,33,29,4
1982,Plant Biology,30,15,15
1982,Political Science,40,30,10
1982,Psychology,184,96,88
1982,SOCIAL SCI,3,1,2
1982,Slavic Languages & Literature,20,5,15
1982,Sociology,44,24,20
1982,Speech Communication,62,33,29
1982,TCH BIOL,10,3,7
1982,TCH ENGL,40,12,28
1982,TCH SOC ST,8,3,5
1982,TCH SPEECH,9,2,7
1982,UNCLASS,0,0,0
1983,Anthropology,57,36,21
1983,Asian Studies,20,7,13
1983,Astronomy,17,15,2
1983,Atmospheric Sciences,21,14,7
1983,Biochemistry,97,67,30
1983,Biology,182,106,76
1983,Biophysics & Computnl Biology,26,19,7
1983,Chemical Engineering,538,421,117
1983,Chemical Physics,8,5,3
1983,Chemistry,557,398,159
1983,Classical Philology,10,8,2
1983,Classics,8,7,1
1983,Comparative Literature,39,16,23
1983,English,98,43,55
1983,Entomology,37,29,8
1983,French,31,9,22
1983,GEN CURR,2074,841,1233
1983,Genetics,6,3,3
1983,Geography,34,25,9
1983,Geology,106,73,33
1983,German,22,14,8
1983,HR&FS,37,1,36
1983,History,73,47,26
1983,Italian,5,1,4
1983,LAS TCH MATH,2,0,2
1983,Linguistics,82,34,48
1983,Mathematics,181,142,39
1983,Microbiology,67,37,30
1983,Molecular & Integrative Physi,56,38,18
1983,PRE-JOURN,227,77,150
1983,PRE-MED,137,71,66
1983,PUB ADMIN,20,14,6
1983,Philosophy,38,32,6
1983,Plant Biology,27,16,11
1983,Political Science,31,23,8
1983,Psychology,182,91,91
1983,SOCIAL SCI,4,2,2
1983,SP CORRECT,1,1,0
1983,Slavic Languages & Literature,20,6,14
1983,Sociology,44,23,21
1983,Speech Communication,47,23,24
1983,TCH BIOL,20,6,14
1983,TCH ENGL,38,13,25
1983,TCH RUSS,1,0,1
1983,TCH SOC ST,7,4,3
1983,TCH SPEECH,8,2,6
1983,UNCLASS,0,0,0
1984,Anthropology,59,32,27
1984,Asian Studies,17,6,11
1984,Astronomy,18,16,2
1984,Atmospheric Sciences,22,16,6
1984,BIOCH,114,70,44
1984,Biochemistry,94,64,30
1984,Biology,175,94,81
1984,Biophysics & Computnl Biology,29,22,7
1984,Chemical Engineering,479,365,114
1984,Chemical Physics,6,5,1
1984,Chemistry,537,394,143
1984,Classical Philology,11,8,3
1984,Classics,5,4,1
1984,Comparative Literature,36,15,21
1984,English,114,51,63
1984,Entomology,37,29,8
1984,French,40,9,31
1984,GEN CURR,2230,916,1314
1984,Genetics,4,2,2
1984,Geography,35,21,14
1984,Geology,93,68,25
1984,German,27,12,15
1984,HR&FS,44,1,43
1984,History,81,55,26
1984,Italian,6,1,5
1984,LAS TCH MATH,3,1,2
1984,Linguistics,76,36,40
1984,Mathematics,181,135,46
1984,Microbiology,65,42,23
1984,Molecular & Integrative Physi,54,35,19
1984,PRE-JOURN,334,86,248
1984,PRE-MED,275,129,146
1984,PUB ADMIN,11,5,6
1984,Philosophy,36,33,3
1984,Plant Biology,27,14,13
1984,Political Science,43,32,11
1984,Psychology,189,92,97
1984,SOCIAL SCI,3,2,1
1984,Slavic Languages & Literature,19,7,12
1984,Sociology,39,23,16
1984,Speech Communication,48,21,27
1984,TCH BIOL,27,5,22
1984,TCH ENGL,43,13,30
1984,TCH GEOGR,1,1,0
1984,TCH SOC ST,6,5,1
1984,TCH SPEECH,8,1,7
1984,TEACH CS,2,2,0
1984,UNCLASS,0,0,0
1984,UNCM FR&SO,0,0,0
1985,Anthropology,53,30,23
1985,Applied Mathematics,2,0,2
1985,Asian Studies,13,9,4
1985,Astronomy,19,16,3
1985,Atmospheric Sciences,24,18,6
1985,BIOCH,124,69,55
1985,Biochemistry,112,76,36
1985,Biology,167,87,80
1985,Biophysics & Computnl Biology,31,26,5
1985,Chemical Engineering,419,328,91
1985,Chemical Physics,4,4,0
1985,Chemistry,531,384,147
1985,Classical Philology,8,6,2
1985,Classics,10,8,2
1985,Comparative Literature,45,20,25
1985,English,115,54,61
1985,Entomology,37,30,7
1985,French,45,8,37
1985,GEN CURR,2284,921,1363
1985,Genetics,3,2,1
1985,Geography,45,29,16
1985,Geology,78,58,20
1985,German,30,16,14
1985,HR&FS,35,1,34
1985,History,83,53,30
1985,Italian,6,2,4
1985,LAS TCH MATH,6,2,4
1985,Linguistics,72,37,35
1985,Mathematics,184,135,49
1985,Microbiology,59,36,23
1985,Molecular & Integrative Physi,59,41,18
1985,PRE-JOURN,445,118,327
1985,PRE-MED,275,118,157
1985,PUB ADMIN,9,5,4
1985,Philosophy,42,35,7
1985,Plant Biology,31,15,16
1985,Political Science,60,41,19
1985,Psychology,193,98,95
1985,SOCIAL SCI,1,1,0
1985,Slavic Languages & Literature,19,9,10
1985,Sociology,33,18,15
1985,Speech Communication,49,21,28
1985,TCH BIOL,23,6,17
1985,TCH ENGL,35,8,27
1985,TCH SOC ST,10,7,3
1985,TCH SPEECH,7,1,6
1985,TEACH CS,6,5,1
1985,UNCLASS,0,0,0
1985,UNCM FR&SO,0,0,0
1986,Anthropology,71,36,35
1986,Applied Mathematics,27,16,11
1986,Asian Studies,13,5,8
1986,Astronomy,19,16,3
1986,Atmospheric Sciences,28,22,6
1986,BIOCH,153,91,62
1986,Biochemistry,109,73,36
1986,Biology,163,87,76
1986,Biophysics & Computnl Biology,34,27,7
1986,Chemical Engineering,440,329,111
1986,Chemical Physics,5,5,0
1986,Chemistry,522,366,156
1986,Classical Philology,7,5,2
1986,Classics,10,8,2
1986,Comparative Literature,33,14,19
1986,English,114,54,60
1986,Entomology,39,30,9
1986,French,44,12,32
1986,GEN CURR,2269,956,1313
1986,Genetics,2,2,0
1986,Geography,40,29,11
1986,Geology,78,59,19
1986,German,28,20,8
1986,HR&FS,15,0,15
1986,History,92,57,35
1986,Italian,9,3,6
1986,LAS TCH MATH,10,5,5
1986,Linguistics,79,39,40
1986,Mathematics,167,127,40
1986,Microbiology,60,38,22
1986,Molecular & Integrative Physi,49,36,13
1986,PRE-JOURN,540,151,389
1986,PRE-MED,210,101,109
1986,PUB ADMIN,6,5,1
1986,Philosophy,40,31,9
1986,Plant Biology,28,11,17
1986,Political Science,49,35,14
1986,Psychology,202,109,93
1986,Slavic Languages & Literature,25,10,15
1986,Sociology,38,17,21
1986,Speech Communication,39,19,20
1986,TCH BIOL,28,6,22
1986,TCH ENGL,41,10,31
1986,TCH RUSS,1,0,1
1986,TCH SOC ST,11,8,3
1986,TCH SPEECH,8,1,7
1986,TEACH CS,6,5,1
1986,UNCLASS,0,0,0
1986,UNCM FR&SO,0,0,0
1987,Anthropology,58,33,25
1987,Applied Mathematics,28,16,12
1987,Asian Studies,16,8,8
1987,Astronomy,20,18,2
1987,Atmospheric Sciences,24,19,5
1987,BIOCH,170,91,79
1987,Biochemistry,119,77,42
1987,Biology,139,67,72
1987,Biophysics & Computnl Biology,34,28,6
1987,Chemical Engineering,434,310,124
1987,Chemical Physics,3,2,1
1987,Chemistry,524,373,151
1987,Classical Philology,9,7,2
1987,Classics,6,3,3
1987,Comparative Literature,33,12,21
1987,English,115,57,58
1987,Entomology,32,23,9
1987,French,46,12,34
1987,GEN CURR,2146,932,1214
1987,Genetics,2,2,0
1987,Geography,42,28,14
1987,Geology,70,51,19
1987,German,31,18,13
1987,HR&FS,1,0,1
1987,History,102,64,38
1987,Italian,6,3,3
1987,LAS TCH MATH,11,3,8
1987,Linguistics,89,43,46
1987,Mathematics,163,116,47
1987,Microbiology,63,37,26
1987,Molecular & Integrative Physi,58,38,20
1987,PRE-JOURN,605,191,414
1987,PRE-MED,193,106,87
1987,PUB ADMIN,6,4,2
1987,Philosophy,42,33,9
1987,Plant Biology,38,13,25
1987,Political Science,49,38,11
1987,Portuguese,1,0,1
1987,Psychology,191,101,90
1987,Slavic Languages & Literature,26,10,16
1987,Sociology,35,15,20
1987,Speech Communication,46,20,26
1987,TCH BIOL,22,4,18
1987,TCH ENGL,56,12,44
1987,TCH SOC ST,15,10,5
1987,TCH SPEECH,6,2,4
1987,TEACH CS,3,1,2
1987,UNCLASS,0,0,0
1987,UNCM FR&SO,0,0,0
1988,Anthropology,68,39,29
1988,Applied Mathematics,26,13,13
1988,Asian Studies,24,10,14
1988,Astronomy,19,16,3
1988,Atmospheric Sciences,24,19,5
1988,BIOCH,164,87,77
1988,Biochemistry,115,72,43
1988,Biology,133,71,62
1988,Biophysics & Computnl Biology,37,32,5
1988,Chemical Engineering,426,306,120
1988,Chemical Physics,5,3,2
1988,Chemistry,478,329,149
1988,Classical Philology,7,5,2
1988,Classics,5,2,3
1988,Comparative Literature,28,12,16
1988,English,123,62,61
1988,Entomology,27,18,9
1988,French,48,15,33
1988,GEN CURR,2182,1008,1174
1988,Genetics,1,1,0
1988,Geography,34,22,12
1988,Geology,46,40,6
1988,German,33,15,18
1988,History,102,72,30
1988,Italian,7,2,5
1988,LAS TCH MATH,12,3,9
1988,Linguistics,87,41,46
1988,Mathematics,173,131,42
1988,Microbiology,62,39,23
1988,Molecular & Integrative Physi,60,39,21
1988,PRE-JOURN,554,190,364
1988,PRE-MED,186,95,91
1988,PUB ADMIN,6,3,3
1988,Philosophy,39,31,8
1988,Plant Biology,34,10,24
1988,Political Science,66,46,20
1988,Portuguese,5,0,5
1988,Psychology,209,106,103
1988,Slavic Languages & Literature,24,14,10
1988,Sociology,35,14,21
1988,Speech Communication,55,22,33
1988,TCH BIOL,26,9,17
1988,TCH ENGL,58,9,49
1988,TCH PHY SC,1,1,0
1988,TCH SOC ST,20,14,6
1988,TCH SPEECH,7,1,6
1988,TEACH CS,4,3,1
1988,UNCLASS,0,0,0
1988,UNCM FR&SO,0,0,0
1989,African American Studies,1,0,1
1989,Anthropology,78,39,39
1989,Applied Mathematics,21,10,11
1989,Asian Studies,33,15,18
1989,Astronomy,15,13,2
1989,Atmospheric Sciences,28,23,5
1989,BIOCH,173,106,67
1989,Biochemistry,112,67,45
1989,Biology,138,75,63
1989,Biophysics & Computnl Biology,43,34,9
1989,Chemical Engineering,370,266,104
1989,Chemical Physics,5,3,2
1989,Chemistry,462,317,145
1989,Classical Philology,8,7,1
1989,Classics,7,4,3
1989,Comparative Literature,29,13,16
1989,English,130,63,67
1989,Entomology,19,13,6
1989,French,51,19,32
1989,GEN CURR,2104,971,1133
1989,Geography,39,27,12
1989,Geology,43,35,8
1989,German,36,16,20
1989,History,129,88,41
1989,Italian,2,0,2
1989,LAS TCH MATH,16,5,11
1989,Linguistics,91,43,48
1989,Mathematics,208,160,48
1989,Microbiology,63,35,28
1989,Molecular & Integrative Physi,58,35,23
1989,PRE-JOURN,539,183,356
1989,PRE-MED,169,90,79
1989,PUB ADMIN,3,2,1
1989,Philosophy,37,27,10
1989,Plant Biology,32,7,25
1989,Political Science,61,41,20
1989,Portuguese,2,0,2
1989,Psychology,200,112,88
1989,Slavic Languages & Literature,28,15,13
1989,Sociology,39,15,24
1989,Speech Communication,49,18,31
1989,TCH BIOL,19,7,12
1989,TCH ENGL,73,13,60
1989,TCH PHY SC,1,1,0
1989,TCH RUSS,3,1,2
1989,TCH SOC ST,16,8,8
1989,TCH SPEECH,8,1,7
1989,TEACH CS,4,1,3
1989,UNCLASS,0,0,0
1989,UNCM FR&SO,0,0,0
1990,Anthropology,78,36,42
1990,Applied Mathematics,40,19,21
1990,Asian Studies,30,14,16
1990,Astronomy,16,13,3
1990,Atmospheric Sciences,23,18,5
1990,BIOCH,161,101,60
1990,Biochemistry,99,56,43
1990,Biology,141,92,49
1990,Biophysics & Computnl Biology,45,30,15
1990,Chemical Engineering,395,270,125
1990,Chemical Physics,9,7,2
1990,Chemistry,487,342,145
1990,Classical Philology,8,6,2
1990,Classics,15,7,8
1990,Comparative Literature,33,15,18
1990,English,127,53,74
1990,Entomology,27,14,13
1990,French,55,19,36
1990,GEN CURR,2184,1089,1095
1990,Geography,39,21,18
1990,Geology,48,37,11
1990,German,37,21,16
1990,History,117,84,33
1990,Italian,4,0,4
1990,LAS TCH MATH,13,3,10
1990,Linguistics,94,42,52
1990,Mathematics,204,161,43
1990,Microbiology,69,39,30
1990,Molecular & Integrative Physi,60,34,26
1990,PRE-JOURN,545,194,351
1990,PRE-MED,164,90,74
1990,PUB ADMIN,1,1,0
1990,Philosophy,38,28,10
1990,Plant Biology,29,7,22
1990,Political Science,59,41,18
1990,Portuguese,4,0,4
1990,Psychology,195,105,90
1990,Slavic Languages & Literature,24,11,13
1990,Sociology,45,16,29
1990,Speech Communication,53,21,32
1990,TCH BIOL,18,6,12
1990,TCH ENGL,81,21,60
1990,TCH RUSS,5,3,2
1990,TCH SOC ST,24,9,15
1990,TCH SPEECH,6,0,6
1990,TEACH CS,6,3,3
1990,UNCLASS,0,0,0
1990,UNCM FR&SO,0,0,0
1991,African American Studies,3,3,0
1991,Anthropology,87,37,50
1991,Applied Mathematics,24,10,14
1991,Asian Studies,19,4,15
1991,Astronomy,18,14,4
1991,Atmospheric Sciences,26,22,4
1991,BIOCH,148,86,62
1991,Biochemistry,102,63,39
1991,Biology,153,96,57
1991,Biophysics & Computnl Biology,47,29,18
1991,Chemical Engineering,414,281,133
1991,Chemical Physics,9,8,1
1991,Chemistry,453,336,117
1991,Classical Philology,5,3,2
1991,Classics,17,10,7
1991,Comparative Literature,35,14,21
1991,English,142,63,79
1991,Entomology,24,12,12
1991,French,65,19,46
1991,GEN CURR,2171,1041,1130
1991,Geography,49,29,20
1991,Geology,50,37,13
1991,German,34,16,18
1991,History,150,105,45
1991,Italian,5,0,5
1991,LAS TCH MATH,17,5,12
1991,Linguistics,99,44,55
1991,Mathematics,205,158,47
1991,Microbiology,69,43,26
1991,Molecular & Integrative Physi,61,36,25
1991,PRE-JOURN,508,183,325
1991,PRE-MED,172,91,81
1991,Philosophy,38,30,8
1991,Plant Biology,27,11,16
1991,Political Science,77,48,29
1991,Portuguese,5,0,5
1991,Psychology,195,99,96
1991,Slavic Languages & Literature,26,17,9
1991,Sociology,48,21,27
1991,Speech Communication,57,24,33
1991,TCH BIOL,29,9,20
1991,TCH ENGL,74,21,53
1991,TCH RUSS,4,2,2
1991,TCH SOC ST,40,14,26
1991,TCH SPEECH,2,0,2
1991,TEACH CS,5,4,1
1991,UNCLASS,0,0,0
1991,UNCM FR&SO,0,0,0
1992,African American Studies,3,2,1
1992,Anthropology,97,41,56
1992,Applied Mathematics,25,10,15
1992,Asian Studies,34,11,23
1992,Astronomy,20,14,6
1992,Atmospheric Sciences,36,30,6
1992,BIOCH,145,81,64
1992,Biochemistry,103,62,41
1992,Biology,159,91,68
1992,Biophysics & Computnl Biology,49,29,20
1992,Chemical Engineering,444,287,157
1992,Chemical Physics,11,10,1
1992,Chemistry,461,336,125
1992,Classical Philology,9,5,4
1992,Classics,16,11,5
1992,Comparative Literature,34,14,20
1992,English,142,65,77
1992,Entomology,28,13,15
1992,French,59,22,37
1992,GEN CURR,2093,972,1121
1992,Geography,49,28,21
1992,Geology,59,39,20
1992,German,40,17,23
1992,History,134,94,40
1992,Italian,5,1,4
1992,LAS TCH MATH,13,6,7
1992,Linguistics,93,42,51
1992,Mathematics,194,148,46
1992,Microbiology,60,39,21
1992,Molecular & Integrative Physi,51,31,20
1992,Neuroscience,25,16,9
1992,PRE-JOURN,435,167,268
1992,PRE-MED,213,98,115
1992,Philosophy,45,34,11
1992,Plant Biology,23,9,14
1992,Political Science,66,46,20
1992,Portuguese,6,1,5
1992,Psychology,217,101,116
1992,Slavic Languages & Literature,29,13,16
1992,Sociology,49,19,30
1992,Speech Communication,59,27,32
1992,TCH BIOL,27,9,18
1992,TCH ENGL,87,28,59
1992,TCH RUSS,6,1,5
1992,TCH SOC ST,54,21,33
1992,TCH SPEECH,4,0,4
1992,TEACH CS,0,0,0
1992,UNCLASS,0,0,0
1992,UNCM FR&SO,0,0,0
1993,African American Studies,10,6,4
1993,Anthropology,89,38,51
1993,Applied Mathematics,30,11,19
1993,Asian Studies,32,11,21
1993,Astronomy,20,14,6
1993,Atmospheric Sciences,38,33,5
1993,BIOCH,161,83,78
1993,Biochemistry,95,56,39
1993,Biology,200,121,79
1993,Biophysics & Computnl Biology,52,31,21
1993,Chemical Engineering,437,291,146
1993,Chemical Physics,14,13,1
1993,Chemistry,491,353,138
1993,Classical Philology,8,5,3
1993,Classics,9,7,2
1993,Comparative Literature,32,15,17
1993,English,150,65,85
1993,Entomology,33,14,19
1993,French,59,15,44
1993,GEN CURR,2073,974,1099
1993,Geography,38,27,11
1993,Geology,60,42,18
1993,German,31,13,18
1993,History,127,95,32
1993,Italian,6,1,5
1993,LAS TCH MATH,16,4,12
1993,Linguistics,88,40,48
1993,Mathematics,193,148,45
1993,Microbiology,72,44,28
1993,Molecular & Integrative Physi,53,33,20
1993,Neuroscience,28,22,6
1993,PRE-JOURN,343,129,214
1993,PRE-MED,251,127,124
1993,Philosophy,46,37,9
1993,Plant Biology,30,13,17
1993,Political Science,69,51,18
1993,Portuguese,4,1,3
1993,Psychology,224,99,125
1993,Slavic Languages & Literature,27,10,17
1993,Sociology,48,17,31
1993,Speech Communication,59,23,36
1993,TCH BIOL,28,7,21
1993,TCH ENGL,115,39,76
1993,TCH RUSS,1,0,1
1993,TCH SOC ST,74,35,39
1993,TCH SPEECH,5,1,4
1993,TEACH CS,0,0,0
1993,UNCLASS,0,0,0
1993,UNCM FR&SO,0,0,0
1994,African American Studies,10,7,3
1994,Anthropology,99,43,56
1994,Applied Mathematics,22,9,13
1994,Asian Studies,34,14,20
1994,Astronomy,22,17,5
1994,Atmospheric Sciences,27,25,2
1994,BIOCH,201,116,85
1994,Biochemistry,88,52,36
1994,Biology,152,84,68
1994,Biophysics & Computnl Biology,44,28,16
1994,Chemical Engineering,457,304,153
1994,Chemical Physics,11,10,1
1994,Chemistry,468,336,132
1994,Classical Philology,12,8,4
1994,Classics,11,8,3
1994,Comparative Literature,30,11,19
1994,English,133,56,77
1994,Entomology,36,17,19
1994,French,60,19,41
1994,GEN CURR,2207,1002,1205
1994,Geography,45,32,13
1994,Geology,67,41,26
1994,German,32,15,17
1994,History,135,96,39
1994,Italian,6,1,5
1994,LAS TCH MATH,11,4,7
1994,Linguistics,84,38,46
1994,Mathematics,188,146,42
1994,Microbiology,73,47,26
1994,Molecular & Integrative Physi,46,28,18
1994,Neuroscience,30,24,6
1994,PRE-JOURN,276,113,163
1994,PRE-MED,299,144,155
1994,Philosophy,54,44,10
1994,Plant Biology,37,15,22
1994,Political Science,62,44,18
1994,Portuguese,6,2,4
1994,Psychology,193,82,111
1994,REES,1,1,0
1994,Slavic Languages & Literature,24,11,13
1994,Sociology,50,20,30
1994,Speech Communication,61,27,34
1994,TCH BIOL,20,4,16
1994,TCH ENGL,100,34,66
1994,TCH RUSS,1,1,0
1994,TCH SOC ST,47,26,21
1994,TCH SPEECH,7,1,6
1994,TEACH CS,0,0,0
1994,TRANSITION,0,0,0
1994,UNCLASS,0,0,0
1994,UNCM FR&SO,0,0,0
1995,African American Studies,9,7,2
1995,Anthropology,87,40,47
1995,Applied Mathematics,15,6,9
1995,Asian Studies,31,15,16
1995,Astronomy,18,13,5
1995,Atmospheric Sciences,32,24,8
1995,BIOCH,211,115,96
1995,Biochemistry,95,50,45
1995,Biology,136,73,63
1995,Biophysics & Computnl Biology,50,32,18
1995,Chemical Engineering,475,330,145
1995,Chemical Physics,12,11,1
1995,Chemistry,491,334,157
1995,Classical Philology,13,9,4
1995,Classics,10,6,4
1995,Comparative Literature,31,12,19
1995,English,118,48,70
1995,Entomology,40,17,23
1995,French,54,15,39
1995,GEN CURR,2446,1082,1364
1995,Geography,42,27,15
1995,Geology,66,39,27
1995,German,37,15,22
1995,History,123,84,39
1995,Italian,5,0,5
1995,LAS TCH MATH,6,2,4
1995,Linguistics,81,30,51
1995,Mathematics,196,148,48
1995,Microbiology,79,51,28
1995,Molecular & Integrative Physi,51,32,19
1995,Neuroscience,33,25,8
1995,PRE-JOURN,316,112,204
1995,PRE-MED,293,138,155
1995,Philosophy,44,34,10
1995,Plant Biology,41,18,23
1995,Political Science,62,45,17
1995,Portuguese,5,2,3
1995,Psychology,205,84,121
1995,REES,6,3,3
1995,Slavic Languages & Literature,20,8,12
1995,Sociology,50,17,33
1995,Speech Communication,63,27,36
1995,TCH BIOL,21,7,14
1995,TCH ENGL,74,24,50
1995,TCH SOC ST,33,20,13
1995,TCH SPEECH,5,0,5
1995,TEACH CS,0,0,0
1995,TRANSITION,0,0,0
1995,UNCLASS,0,0,0
1995,UNCM FR&SO,0,0,0
1996,African American Studies,6,5,1
1996,Anthropology,75,27,48
1996,Applied Mathematics,16,6,10
1996,Asian Studies,32,12,20
1996,Astronomy,22,15,7
1996,Atmospheric Sciences,29,20,9
1996,BIOCH,225,130,95
1996,Biochemistry,95,51,44
1996,Biology,127,69,58
1996,Biophysics & Computnl Biology,39,24,15
1996,Chemical Engineering,464,315,149
1996,Chemical Physics,9,8,1
1996,Chemistry,439,292,147
1996,Classical Philology,12,9,3
1996,Classics,10,6,4
1996,Comparative Literature,32,12,20
1996,English,105,43,62
1996,Entomology,35,22,13
1996,French,45,14,31
1996,GEN CURR,2509,1172,1337
1996,Geography,43,27,16
1996,Geology,60,37,23
1996,German,35,15,20
1996,History,126,80,46
1996,Italian,6,0,6
1996,LAS TCH MATH,3,1,2
1996,Linguistics,68,23,45
1996,Mathematics,195,149,46
1996,Microbiology,61,36,25
1996,Molecular & Integrative Physi,54,36,18
1996,Neuroscience,34,26,8
1996,PRE-JOURN,363,131,232
1996,PRE-MED,264,122,142
1996,Philosophy,39,30,9
1996,Plant Biology,40,19,21
1996,Political Science,47,32,15
1996,Portuguese,5,2,3
1996,Psychology,191,84,107
1996,REES,7,3,4
1996,Slavic Languages & Literature,16,7,9
1996,Sociology,43,11,32
1996,Speech Communication,53,23,30
1996,TCH BIOL,20,7,13
1996,TCH ENGL,41,14,27
1996,TCH SOC ST,26,13,13
1996,TCH SPEECH,3,0,3
1996,TEACH CS,0,0,0
1996,TRANSITION,0,0,0
1996,UNCLASS,0,0,0
1996,UNCM FR&SO,0,0,0
1997,African American Studies,8,6,2
1997,Anthropology,77,27,50
1997,Applied Mathematics,18,9,9
1997,Asian Studies,22,8,14
1997,Astronomy,18,12,6
1997,Atmospheric Sciences,33,23,10
1997,BIOCH,200,103,97
1997,Biochemistry,83,48,35
1997,Biology,114,62,52
1997,Biophysics & Computnl Biology,48,32,16
1997,Chemical Engineering,451,287,164
1997,Chemical Physics,7,6,1
1997,Chemistry,415,262,153
1997,Classical Philology,8,7,1
1997,Classics,10,7,3
1997,Comparative Literature,36,10,26
1997,English,120,48,72
1997,Entomology,29,18,11
1997,French,46,11,35
1997,GEN CURR,2372,1093,1279
1997,Geography,38,22,16
1997,Geology,51,32,19
1997,German,26,9,17
1997,History,116,78,38
1997,Italian,7,0,7
1997,LAS TCH MATH,9,4,5
1997,LATIN AMER ST,1,1,0
1997,Linguistics,55,16,39
1997,Mathematics,168,129,39
1997,Microbiology,65,37,28
1997,Molecular & Integrative Physi,50,31,19
1997,Neuroscience,40,31,9
1997,PRE-JOURN,347,123,224
1997,PRE-MED,249,114,135
1997,Philosophy,41,32,9
1997,Plant Biology,37,16,21
1997,Political Science,40,30,10
1997,Portuguese,3,0,3
1997,Psychology,173,75,98
1997,REES,4,1,3
1997,Slavic Languages & Literature,16,8,8
1997,Sociology,42,13,29
1997,Speech Communication,58,23,35
1997,TCH BIOL,24,9,15
1997,TCH ENGL,45,16,29
1997,TCH SOC ST,23,13,10
1997,TRANSITION,0,0,0
1997,UNCLASS,0,0,0
1997,UNCM FR&SO,0,0,0
1998,African American Studies,10,5,5
1998,Anthropology,71,22,49
1998,Applied Mathematics,12,7,5
1998,Asian Studies,27,12,15
1998,Astronomy,21,15,6
1998,Atmospheric Sciences,27,17,10
1998,BIOCH,210,111,99
1998,Biochemistry,80,42,38
1998,Biology,103,63,40
1998,Biophysics & Computnl Biology,44,28,16
1998,CELL & STR BIOL,11,7,4
